文件代码	文件路径	equipment type	variation
1000000	swordman	hat	0_0
1000001	swordman	hat	1_0
1000002	swordman	hat	2_0
1000003	swordman	hat	0_1
1000004	swordman	hat	0_2
1000005	swordman	hat	0_3
1000006	swordman	hat	1_1
1000007	swordman	hat	1_2
1000008	swordman	hat	1_3
1000009	swordman	hat	2_1
1000010	swordman	hat	2_2
1000011	swordman	hat	2_3
1000012	swordman	hat	3_0
1000013	swordman	hat	4_0
1000014	swordman	hat	3_1
1000015	swordman	hat	3_2
1000016	swordman	hat	3_3
1000017	swordman	hat	4_1
1000018	swordman	hat	4_2
1000019	swordman	hat	4_3
1010000	swordman	hair	1_0
1010001	swordman	hair	2_0
1010002	swordman	hair	3_0
1010003	swordman	hair	4_0
1010004	swordman	hair	5_0
1010005	swordman	hair	6_0
1010006	swordman	hair	7_0
1010007	swordman	hair	8_0
1010008	swordman	hair	9_0
1010009	swordman	hair	10_0
1010010	swordman	hair	0_1
1010011	swordman	hair	0_2
1010012	swordman	hair	0_3
1010013	swordman	hair	1_1
1010014	swordman	hair	1_2
1010015	swordman	hair	1_3
1010016	swordman	hair	2_1
1010017	swordman	hair	2_2
1010018	swordman	hair	2_3
1010019	swordman	hair	3_1
1010020	swordman	hair	3_2
1010021	swordman	hair	3_3
1010022	swordman	hair	4_1
1010023	swordman	hair	4_2
1010024	swordman	hair	4_3
1010025	swordman	hair	5_1
1010026	swordman	hair	5_2
1010027	swordman	hair	5_3
1010028	swordman	hair	6_1
1010029	swordman	hair	6_2
1010030	swordman	hair	6_3
1010031	swordman	hair	7_1
1010032	swordman	hair	7_2
1010033	swordman	hair	7_3
1010034	swordman	hair	8_1
1010035	swordman	hair	8_2
1010036	swordman	hair	8_3
1010037	swordman	hair	9_1
1010038	swordman	hair	9_2
1010039	swordman	hair	9_3
1010040	swordman	hair	10_1
1010041	swordman	hair	10_2
1010042	swordman	hair	10_3
1010043	swordman	hair	11_0
1010044	swordman	hair	11_1
1010045	swordman	hair	11_2
1010046	swordman	hair	11_3
1010047	swordman	hair	12_0
1010048	swordman	hair	12_1
1010049	swordman	hair	12_2
1010050	swordman	hair	12_3
1010051	swordman	hair	17_0
1010052	swordman	hair	17_1
1010053	swordman	hair	17_2
1010054	swordman	hair	17_3
1010055	swordman	hair	14_0
1010056	swordman	hair	14_1
1010057	swordman	hair	14_2
1010058	swordman	hair	14_3
1010059	swordman	hair	16_0
1010060	swordman	hair	16_1
1010061	swordman	hair	16_2
1010062	swordman	hair	16_3
1010063	swordman	hair	19_0
1010064	swordman	hair	19_1
1010065	swordman	hair	19_2
1010066	swordman	hair	19_3
101500008	swordman	coat	123_0
101500425	swordman	coat	37_1
101500426	swordman	coat	37_2
101500427	swordman	coat	37_3
101500428	swordman	coat	38_0
101500429	swordman	coat	38_1
101500430	swordman	coat	38_2
101500431	swordman	coat	38_3
101500432	swordman	coat	41_0
